name,position,type,appearances,rating,goals,assists,totalShots,shotsOnTarget,accuratePasses,keyPasses,accurateLongBalls,successfulDribbles,tackles,interceptions
Cole Palmer,M,overall,8,7.95,6,5,28,11,221,24,22,8,7,2
Noni Madueke,M,overall,7,7.4,4,,23,10,122,8,3,11,9,3
Robert Sánchez,G,overall,8,7.4,,,,,225,,,,,
Moisés Caicedo,M,overall,8,7.3,,2,4,,378,6,12,5,28,10
Jadon Sancho,M,overall,5,7.2,,3,1,,104,8,2,12,1,
Nicolas Jackson,F,overall,8,7.1875,5,3,21,12,83,7,2,6,1,1
Benoît Badiashile,D,overall,1,7.1,,,,,42,,3,,1,1
Marc Cucurella,D,overall,7,6.9142857142857,,,,,292,1,9,1,9,6
Levi Colwill,D,overall,8,6.8875,,,2,1,514,2,29,3,6,10
Enzo Fernández,M,overall,7,6.8857142857143,,,4,2,271,9,20,3,15,2
Roméo Lavia,M,overall,3,6.8666666666667,,,,,68,1,1,3,5,5
Wesley Fofana,D,overall,7,6.8428571428571,,,1,,375,4,10,3,7,9
João Félix,F,overall,5,6.82,1,,7,2,57,1,2,3,2,1
Christopher Nkunku,F,overall,8,6.7875,1,,5,3,64,4,1,3,3,1
Pedro Neto,F,overall,8,6.775,,1,3,,103,9,,7,4,1
Malo Gusto,D,overall,6,6.75,,,6,1,260,1,14,2,16,7
Renato Veiga,M,overall,5,6.74,,,3,1,104,,5,3,8,1
Axel Disasi,D,overall,2,6.7,,,,,58,,3,1,1,1
Mykhaylo Mudryk,M,overall,4,6.7,,,,,13,2,1,2,,
Tosin Adarabioyo,D,overall,4,6.675,,,,,138,1,1,1,2,1
Reece James,D,overall,1,6.6,,,,,40,,1,,1,1
Kiernan Dewsbury-Hall,M,overall,3,6.4666666666667,,,,,29,1,1,1,,1
Marc Guiu,F,overall,1,6.3,,,,,3,,,,,
